name,provider,address,website,contact-person,phone,email,country
SHINYWAY EDUCATION - Sydney,SHINYWAY EDUCATION - Sydney,"Suite 105, 451 Pitt Street, sydney NSW 2000",www.igo.cn/shinyway/sydney,Kena Qu,02 92811636,AU@shinyway.com.cn,Australia
SOL EDU- Brisbane,SOL EDU- Brisbane,"Level 2, 69 Adelaide Street, Brisbane QLD 4000",www.soledu.net/kr,Anna Lee,07 3003 1899,admin@soledu.net,Australia
STB STUDENT TRAVEL BUREAU - Sydney,STB STUDENT TRAVEL BUREAU - Sydney,"Level 6, 225 Clarence Street Sydney",www.stbaustralia.com.au,Bruna Souza,02 9299 4428,info@stbaustralia.com.au,Australia
STELLAR EDUCATION & VISA CENTRE - Sydney ,STELLAR EDUCATION & VISA CENTRE - Sydney ,Suite 108 Manning Bldg. 451 Pitt Street Sydney,www.stellaraustralia.com,Joy T Roche,02 9212 7489,info@stellaraustralia.com,Australia
STUDY CENTRAL - Sydney,STUDY CENTRAL - Sydney,108/250 Pitt street Sydney NSW 2000,www.studycentral.com.au ,Alise LO ,02 8065 6085,info@studycentral.com.au,Australia
STUDY SA - Adelaide,STUDY SA - Adelaide,"Level 3, 50 King William Street, Adelaide SA 5000",www.studysa.com.au,Tony HS Choi,08 8221 5013,adelaide@studysa.com.au,Australia
SUPERSTAR EDUCATION - Melbourne,SUPERSTAR EDUCATION - Melbourne,"Level 8, 365 Little Collinns Street, Melbourne VIC 3000",www.super-star.com.au,Tina Lahur,03 96635048,melbourne@super-star.com.au,Australia
SUPERSTAR EDUCATION - Sydney,SUPERSTAR EDUCATION - Sydney,"Suite 104, Level 10, 420 Pitt Street, Sydney",www.super-star.com.au,Nino Chaweewanichkul,02 9281 6333 ,admissions@super-star.com.au,Australia
U&I Global - Brisbane,U&I Global - Brisbane,"Level 3, 110 Mary Street, Brisbane 4000",www.uandiedu.com,Jason Yoo,07 3270 7999,jason@uandiedu.com,Australia
UHAK STATION - Melbourne,UHAK STATION - Melbourne,"Level 2, 358 Lonsdale Street, Melbourne VIC 3000",www.uhakstation.com,Tony Lee,03 9600 3566,melbourne@uhakstation.com,Australia
UHAK STATION - Sydney,UHAK STATION - Sydney,"Suite 402,303 Pitt Street,Sydney",www.uhakstation.com,Jason Hwang,02 8068 6869,sydney@uhakstation.com,Australia
UNILINK EDUCATION - Sydney,UNILINK EDUCATION - Sydney,"Suite 16, Level 1 World Square, 650 George St Sydney, NSW, Australia, 2000 ",www.ulec.com.au ,Xiaoping QIN,02 8999 8749,info@ulec.com.au,Australia
VISION PLANET- Adelaide ,VISION PLANET- Adelaide ,"Level 2/127 Rundle Mall, Adelaide SA 5000",www.visionplanet.com.au,Daljit Rao,08 8212 6799,daljit@visionplanet.com.au,Australia
WEST 1 - Melbourne,WEST 1 - Melbourne,"Level 11, 227 Collins Street, Melbourne VIC 3000",www.west1.com.au,Walter Scott,03 9654 3920,walter@west1.com.au,Australia
WEST 1 - Sydney,WEST 1 - Sydney,"Level 7, Suite 706, 31 Market Street Sydney",www.west1-australia.com.au,Mariana Santoro,02 9261 5020,sydney@west1.com.au,Australia
YES RTO - Sydney,YES RTO - Sydney,"Darling Park, Tower 2, Level 21, 201 Sussex Street, Sydney",www.yesrto.com.au,Wayne LIM,02 9006 1798,admin@yesrto.com.au,Australia
AUSTRALIAN CENTRE - Rio de Janeiro,AUSTRALIAN CENTRE - Rio de Janeiro,"Rua Visconde de Pirajá 142, sala 207 Ipanema ",www.australiancentre.com.br,Rodrigo Sousa,(55) 21 32839389,riodejaneiro@australiancentre.com,Brazil
AUSTRALIAN CENTRE - Sao Paulo,AUSTRALIAN CENTRE - Sao Paulo,"Rua Guararapes 622, Brooklin Novo CEP 04561-000",www.australiancentre.com.br,Daniella Faber,(55) 11 38546566,atendimento@australiancentre.com,Brazil
HELLO STUDY PORTO ALEGRE - Brazil,HELLO STUDY PORTO ALEGRE - Brazil,"Av. Osvaldo Aranha 1022 sl 610, Porto Alegre CEP 90035-191",www.hellostudy.com.br,Andressa Martins,(55) 51 984332017,andressa@hellostudy.com.br,Brazil
STB STUDENT TRAVEL BUREAU - Sao Paulo,STB STUDENT TRAVEL BUREAU - Sao Paulo,Avenida Brigadeiro Faria Lima 1713 / 16o andar,www.stb.com.br,Camilla Gouveia,(55) 11 3038 1500,cgouveia@stb.com.br,Brazil
AMS BRIDGE BLUE - Phnom Penh,AMS BRIDGE BLUE - Phnom Penh,"18/F Canadia Bank Tower, No. 315, Ang Doung St,, Corner Monivong Blvd, Phnom Penh",www.amsbridgeblue.com,Mr. Tomothy Teoh,(85) 89626722,tim@amsbridgeblue.com,Cambodia
CAMPUS AUSTRALIA (SPRINGBOARD 4 CAMBODIA) - Cambodia,CAMPUS AUSTRALIA (SPRINGBOARD 4 CAMBODIA) - Cambodia,"Springboard Building 6-18, Street 574 Boeung Kak II, Toul Kork, Phnom Penh",www.springboard4cambodia.com,San Pidet,(85) 512961861,campusaustralia@springboard4cambodia.com,Cambodia
A and A INTERNATIONAL EDUCATION - Shanghai,A and A INTERNATIONAL EDUCATION - Shanghai,"Suite 1406, Tian An Centre 338 Nan Jing Road (West) Shanghai",www.aa-intl.com,王岑,(86) 21 6327 8066,admission@aa-intl.com,China
AOJI EDUCATION GROUP - Beijing,AOJI EDUCATION GROUP - Beijing,"2-3F, Interchina Commercial Building No. 33 Deng Shi Kou Street, Dong Cheng District Beijing",www.aoji.cn,张睿睿,(86) 10 65229780,application4@aoji.cn,China
AUSTRALIA EDUCATIONAL DEVELOPMENT GROUP - Beijing,AUSTRALIA EDUCATIONAL DEVELOPMENT GROUP - Beijing,"No.7 Louzizhuang Road, Chaoyang District, Beijing, China",www.nitbj.com.cn,Chris Chen,(86) 10 84394317,accg-students@au-ielts.com,China
BEIJING NEW ORIENTAL VISION OVERSEAS CONSULTING CO. LTD - Beijing,BEIJING NEW ORIENTAL VISION OVERSEAS CONSULTING CO. LTD - Beijing,"6-7F, No. 6, Haidian Central Street, Haidian District Beijing",www.liuxu.xdf.cn ,Emma Yang,(86) 10 62605599,visioninfo@xdf.cn,China
CEDARWOOD CONSULTING LTD - Comego,CEDARWOOD CONSULTING LTD - Comego,"X23F, Office Building, DongFangYinZuo, No 48 DongZhiMenWaiDaJie, Dongcheng District, Beijing ",www.comego.com,贲铄起,(86) 10 5339 1717,info@GHEAC.com,China
EDUGLOBAL - Guangzhou,EDUGLOBAL - Guangzhou,"Room 302-03, 3rd Floor, Atrium Area, Guangdong International Building, 339 Huanshi Dong Lu, Guangzhou, P.R.C.",www.eduglobal.com,Evens,(86) 20 83312981,venus.chen@eduglobal.com,China
EIC GROUP - Beijing,EIC GROUP - Beijing,"Room 102, 1F, Block A,Jianwai SOHO 39 East 3rd-Ring Rd, Chaoyang District Beijing",www.eic.org.cn,张晨,(86) 10 58781616,info@eiceducation.com,China
EIC GROUP - Guangzhou,EIC GROUP - Guangzhou,2F Guangzhou Library 42 Zhongshan Si Rd Guangzhou,www.eic.org.cn,Faya,(86) 20 22821688,info@eiceducation.com,China
FOCUS INTERNATIONAL OVERSEAS STUDENT SERVICES - Macau,FOCUS INTERNATIONAL OVERSEAS STUDENT SERVICES - Macau," Rua Do Campo, No.117, Edf, Mei Mei, 2 Andar Macau",www.focus.com.mo,Miyuki,(86) 53 28355707,info@focus.com.mo,China
GLOBAL EDUCATION ALLIANCE - Guangzhou,GLOBAL EDUCATION ALLIANCE - Guangzhou,"1603, Huacheng Bld, No.1 Wushan Rd, Tianhe Dist Guangzhou",www.geaworld.org,Ben,(86) 020 8756 4591,info@geacn.net,China
IAE EDU NET - Shanghai,IAE EDU NET - Shanghai,"23H, Cross Region Plaza No.899, Lingling Road, Xuhui Dist. Shanghai",www.iaechina.net.cn,徐莺,(86) 21 5150 6209,app10@iaechina.net.cn,China
IDP EDUCATION - Beijing,IDP EDUCATION - Beijing,"Suite 703, 7th Floor, North Office Tower, Beijing New World Centre 3/B Chongwenmenwai Street Chongwen District Beijing",www.idp.cn,杨帆,(86) 10 5278 8989,info.beijing@idp.com,China
IDP EDUCATION - Guangzhou,IDP EDUCATION - Guangzhou,"Suite 1901&1908, East Tower Fortune Plaza, 116 Ti Yu Dong Lu Guangzhou ",www.idp.cn,Cabby,(86) 20 38932797,info.guangzhou@idp.com,China
IDP EDUCATION - Shanghai,IDP EDUCATION - Shanghai,"Suite 1405, Hong Kong Plaza 283 Huaihai Road (Middle) Shanghai ",www.idp.cn,恽维宏 ,(86) 4008218688,info.shanghai@idp.com,China
SHANGHAI CIIC EDUCATION INTERNATIONAL - Shanghai,SHANGHAI CIIC EDUCATION INTERNATIONAL - Shanghai,"Suite A, 11F, No 88 Cao Xi Bei Road Shanghai",www.liuxue.shciic.com,王红,(86) 21 6486 8282,info@shciic.com,China
SHINYWAY EDUCATION - Beijing,SHINYWAY EDUCATION - Beijing,"23F, AVIC Mansion Yi10 Dongsanhuan Middle Road Chaoyang District Beijing",www.igo.cn,宋瑶波,(86) 10 6568 6366,Asia@shinyway.com.cn,China
SHINYWAY EDUCATION - Hangzhou,SHINYWAY EDUCATION - Hangzhou,4/F Area A. Dragon Century Plaza  No 1 Hangda Rd Hangzhou,www.igo.cn,尹艺蓉,(86) 571 8790 1122,Asia@shinyway.com.cn,China
YANTAI ZHONGSHI STUDY ABROAD CONSULTING SERVICE - China,YANTAI ZHONGSHI STUDY ABROAD CONSULTING SERVICE - China,"Room 2005, Yitong Guoji, 11 Nandajie, zhifu Dist. Yantai Shandong",N/A,陈牧,(86) 535 4914319,cindychen@hotmail.com,China
YU TANG SHENG SHI COUNSELING CO (STUDYFR) - Beijing,YU TANG SHENG SHI COUNSELING CO (STUDYFR) - Beijing,"Room 1705, Building 2, Zizhuyuan, Compound 1, Haidian District, Beijing",www.studyfr.net,韩洁,(86) 10 62128199,hanjie@studyfr.net,China
AOJI - Shanghai,AOJI - Shanghai,"Room 2002, No. 580 West Nanjing Road, Shanghai, China",www.aoji.cn,蒋佳邑,(86) 15 067670050,jiangjiayi@aoji.cn,China 
BEIJING TIANJI STUDY ABROAD CONSULTING CO - Beijing,BEIJING TIANJI STUDY ABROAD CONSULTING CO - Beijing,"Room 204, Building 4, Ziming Mansion, NO.B12 Xinzhong Street, Dongcheng Dist.,Beijing",www.tianjiedu.com.cn,Lily LUO,(86) 10 64152702,313525126@qq.com,China 
BONAN CONSULTANTS - Shanghai,BONAN CONSULTANTS - Shanghai,"1555 Ju Feng Rd,Building A/6th Floor Pudong,Shanghai,China",www.shenyuan-su.com,Maggie Lu,(86) 21 6353 5313 ,bonan@bonanedu.com,China 
CAN ACHIEVE INTERNATIONAL EDUCATION - Beijing,CAN ACHIEVE INTERNATIONAL EDUCATION - Beijing,"802, Tower B, JianWai SOHO, Office Building, No.39 Dongsanhuan Zhonglu, Chaoyang Dist. Beijing, China",www.can-achieve.com.cn,Sky Yang,(86) 10 58690554,williamguo@can-achieve.com,China 
CHENGDU HUAYING CONSULTING AND SERVICE CO – China,CHENGDU HUAYING CONSULTING AND SERVICE CO – China,"9F, Block A, Renhe Spring Plaza, No.19 Section 2 of 2nd Ring Road West, Qingyang District, Chengdu, Sichuan, P.R.China",www.cdhuaying.com,Lin DENG,(86) 28 62058888830,partnership@cdhuaying.com.cn,China 
D and LT CONSULTANTS LTD - China,D and LT CONSULTANTS LTD - China,"No 11 Tianshun Street, Kunlunshangcheng, Nangang District, Harbin, China",www.edudlt.com,Pinky Cai,(86) 451 82307080,australia@edubridge.com.cn,China 
EDUGLOBAL - Beijing,EDUGLOBAL - Beijing,"7F Floor, North Office Tower, The New World Centre, 3B Chongwenmenwai Street, Beijing, China",www.eduglobal.com,Grace LI,(86) 10 67080808,grace.li@eduglobal.com;,China 
EIC GROUP - China,EIC GROUP - China,"12F, Industrial Bank Building, No,101, Tianhe Road, Tianhe District, Guangzhou,Guangdong, China",www.eiceducation.com,Isa WONG,(86) 20 22821699,partners@eiceducation.com,China 
EIC GROUP - Jinan,EIC GROUP - Jinan,"3F, B Area, No.6 Qianfoshan Road Jinan Shandong China ",www.eiceducation.com,Barbara ZHANG,(86) 531 8296 0666,shandong@eic.org.cn,China 
EIC GROUP - Shanghai,EIC GROUP - Shanghai,"Room 1801, Ciro's Plaza, No. 388 Nanjing W. Road, Shanghai, China ",www.eiceducation.com,Ellie Qi,(86) 21 6032 8407,admin.shanghai@eic.org.cn,China 
EIC GROUP - Shenzhen,EIC GROUP - Shenzhen,"Rm 1501-1502, 1509, Building A International Chamber of Commerce Building Futian District, Shenzhen, Guangdong, China",www.eiceducation.com,Yumi Gu,(86) 755 3333 0232,yumigu@eiceducation.com.cn,China 
EIC GROUP - Wuhan,EIC GROUP - Wuhan,"18F, Building C, New World Centre, #634-3 Jiefang Ave., Qiaokou District, Wuhan",www.eiceducation.com,Vila Yang,(86) 27 83316515,wuhan@eic.org.cn,China 
HUNAN NEW ORIENTAL OVERSEAS CONSULTING - Hunan,HUNAN NEW ORIENTAL OVERSEAS CONSULTING - Hunan,"46010, Block B, Wanda Plaza, No.589 Middle Xiangjiang Road, Kaifu District, Changsha, Hunan, China",www.liuxue.xdf.cn,邓英,(86) 13827486042,dengying@xdf.cn,China 
IAE EDU NET - Huzhou,IAE EDU NET - Huzhou,"5F, Twins Plaza, No.75, West Tiao Xi Rd
Wu Xing District, Huzhou, Zhengjiang, China",www.iaechina.net.cn,Tina Xu,(86) 0572 2716720,tina.xu@iaechina.net.cn,China 
IDP EDUCATION - Chengdu,IDP EDUCATION - Chengdu,"Suite A, Level 26, Tower A Xi Yu Building, No. 8 Xi Yu Stree, Chengdu, Sichuan, China",www.idp.cn,Grace Liu,(86) 86146899800 ,graceliuxin@yahoo.com,China 
IDP EDUCATION - Nanjing,IDP EDUCATION - Nanjing,"Suite C, Floor 14, Golden Eagle Plaza A Bld., No.89 Hanzhong Road, Nanjing, Jiangsu, China ",www.idp.cn,李津,(86) 13913951876,jessie.li@idp.com,China 
NANJING XUENENG EDUCATION INFORMATION CONSULTING - China,NANJING XUENENG EDUCATION INFORMATION CONSULTING - China,"Nanjing City Jianye District Road, No. 58 Building 1-738 Brocade",NA,金凯,(86) 13912993298,20918804@qq.com,China 
NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Beijing,NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Beijing,"Floor 7, No.6 Haidian Central Street, Haidian District, Beijing, China",www.liuxue.xdf.cn,Lux Liu,(86) 10 62605599,novo-anz@xdf.cn;,China 
NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Beijing,NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Beijing,"8F, New Oriental South Tower, No.2 Haidian East Third Street, Haidian District, Beijing, China",liuxue.xdf.cn,Lux Liu,(86) 10 62605599,novo-anz@xdf.cn;,China 
NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Kunming,NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Kunming,"Room 1801-1803, 18th Floor, East Shuncheng Building, No. 11 West Dongfeng Road, Kunming, Yunan, China ",www.liuxue.xdf.cn,马佳,(86) 8718 2588,majia4@xdf.cn,China 
NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Nanjing,NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Nanjing,"Room A, Floor 45, Nanjing International Finance Center, No.1 Hanzhong Rd, Nanjing, Jiangsu, China",www.liuxue.xdf.cn,褚婷婷,(86) 02588036517,au-vision@xdf.cn,China 
NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Shenzhen,NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Shenzhen,"6/F, Sinosafe Insurance Building West, Fuhua 1st Road, Futian District, Shenzhen, Guangdong, China",www.liuxue.xdf.cn,Anna Chen,(86) 13823144061,chenwanling3@xdf.cn,China 
NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Wuhan,NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Wuhan,"F 31, No. 456 Wuluo Road, Wuchang District, Wuhan, Hubei, China ",www.liuxue.xdf.cn,陈珉 ,(86) 13871567288,chenmin21@xdf.cn ,China 
NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Xiamen,NEW ORIENTAL VISION OVERSEAS CONSULTING CO - Xiamen,"403, Fortune Center, No. 100 Lujiang Road, Siming District, Xiamen, Fuazhou, China",www.liuxue.xdf.cn,"Tingting Xiang	",(86) 18868193095,604027724@qq.com,China 
ORIENTAL MIGRATION AND EDUCATION CENTRE LIMITED - Zhengzhou,ORIENTAL MIGRATION AND EDUCATION CENTRE LIMITED - Zhengzhou,"Suite 506, Tower E, Jianye Five Buildings, No.5-5, Shangdu Road, Zhengzhou, Henan, China",NA,Andy Zhao,(86) 371 86653268,andyomec@gmail.com,China 
SHANGHAI JUSS EDUCATION CONSULTING CO - SHANGHAI,SHANGHAI JUSS EDUCATION CONSULTING CO - SHANGHAI,Suite 1106 Hanzhong Plaza No. 158 Hanzhong Road Shanghai 200070 China ,www.jussedu.com,Alex Wu,(86) 21 52288515,juss@jussedu.com,China 
SHINYWAY EDUCATION - Chengdu,SHINYWAY EDUCATION - Chengdu,"19-A, No. Zongfu Rong. Jinjiang Dist. Chengdu, China",www.igo.cn,Irene Wang,(86) 028 8619 9567,irenalwang@shinyway.com.cn,China 
SHINYWAY EDUCATION - Henan,SHINYWAY EDUCATION - Henan,"7 Floor,China Merchants Bank Tower,Jincheng International Plaza, No.68 Jingsan Road, Zhengzhou, Henan, China",www.igo.cn,Wang Ya li ,(86) 18037496867,yaliwang@shinyway.com.cn ,China 
SHINYWAY EDUCATION - Ningbo,SHINYWAY EDUCATION - Ningbo,"F15, Times Square, No.8, Lengjing Street, Haishu District, Ningbo City, Zhejiang Province, 315000, P.R.China ",www.igo.cn,Vera Zhai,(86) 574 87076036,verazhai@shinyway.com.cn,China 
SHINYWAY EDUCATION - Shenzhen,SHINYWAY EDUCATION - Shenzhen,"4F Book Centre, Zhonghe Building, Shennanzhong Road, Shenzhen, 518031, P.R.China",www.igo.cn,Huilan Zhang,(86) 755 83985740,au@shinyway.com.cn,China 
VANGUARD EDUCATION CONSULTANCY - Fujian,VANGUARD EDUCATION CONSULTANCY - Fujian,"24A No. 258 South Hubin Road, Siming District, Xiamen, Fujian, China",www.global-vec.com,Jean Li,(86) 592 2918863,jeanli@global-vec.cn,China 
ZHEJIANG SHINYWAY OVERSEAS STUDIES SERVICE CENTRE - Zhejiang,ZHEJIANG SHINYWAY OVERSEAS STUDIES SERVICE CENTRE - Zhejiang,"West F/4 Julong Buildiing,No.9 Hangda Road,Xihu District,Hangzhou,Zhejiang,China  ",www.shinyway.com.cn,Wang Haiping ,(86) 571 8790 3033 ,haipingwang@shinyway.com.cn,China 
AAS EDUCATION CONSULTANCY - Hong Kong,AAS EDUCATION CONSULTANCY - Hong Kong,"Suite 1501 Two Grand Tower, No. 625 Nathan Road Mongkok",www.aas.com.hk,Jacky,(852) 23233287,enquiry@aas.com.hk,Hong Kong
ACCESS ACADEMIC CONSULTANCY - Hong Kong,ACCESS ACADEMIC CONSULTANCY - Hong Kong,"Rm 1301, Tai Yau Building, 181 Johnston Road, Wanchai, Hong Kong",www.aac.hk,Joshua Tang,(852) 2777 8771 ,info@aac.hk ,Hong Kong
ACE ACADEMIC AND CONTINUING EDUCATION LIMITED - Hong Kong,ACE ACADEMIC AND CONTINUING EDUCATION LIMITED - Hong Kong,"913 Lippo Sun Plaza, 28 Canton Road, Tsim Sha Tsui, Hong Kong",www.ace-hk.org,Kenneth Chan,(852) 2311 2689,kenneth.chan@ace-hk.org,Hong Kong
AEA EDUCATION ASSOCIATION - Hong Kong,AEA EDUCATION ASSOCIATION - Hong Kong,"Unit 1012, Star House, 3 Salisbury Road, Tsim Sha Tsui, Kowloon, Hong Kong",www.aea.org.hk,Catherine Ng,(852) 2114 4088,info@aea.org.hk ,Hong Kong
AMBER EDUCATION HONG KONG - Hong Kong,AMBER EDUCATION HONG KONG - Hong Kong,"Unit 818-819, Star House, No.3 Salisbury Road Tsimshatsui Kowloon ",www.amberedu.com.hk,Alex,(852) 23779115,megan.kwok@amberedu.com.hk,Hong Kong
AMBER EDUCATION HONG KONG - Mong Kok,AMBER EDUCATION HONG KONG - Mong Kok,"Unit 1417, Star House, 3 Salisbury Road, Tsim Sha Tsui, Kowloon",www.amberedu.com.hk,Joy Lui,(852) 2377 9115,joy.lui@amberedu.com.hk,Hong Kong
AMBER EDUCATION HONG KONG - Wanchai,AMBER EDUCATION HONG KONG - Wanchai,"Room 1208-1211, Tai Yau Building, 181 Johnston Road, Wanchai, Hong Kong",www.amberedu.com.hk,Alex Leung,(852) 2377 7888,alex.leung@amberedu.com.hk,Hong Kong
ASTON EDUCATION - Hong Kong,ASTON EDUCATION - Hong Kong,"5/F, OfficePlus, 303 Hennessy Road, Wanchai, Hong Kong",www.astonhongkong.com,Dahlia Leng,(852) 2866 9933 ,info@astonhongkong.com ,Hong Kong
AUSTRALIAN EDUCATION CONSULTANCY LIMITED (ACE) - Hong Kong,AUSTRALIAN EDUCATION CONSULTANCY LIMITED (ACE) - Hong Kong,"1802 Causeway Bay Plaza 2, 463 Lockhart Road, Causeway Bay, Hong Kong",www.aecl.com.hk,Emily Cheung,(852) 2598 6166,enquiry@aecl.com.hk ,Hong Kong
DADI OVERSEAS STUDIES SERVICE CENTRE - Hong Kong,DADI OVERSEAS STUDIES SERVICE CENTRE - Hong Kong,"Room 1801A, 18/F, Star House 3 Salisbury Road Tsim Sha Tsui Kowloon City Kowloon",www.dadi.com.hk,Simon,(852) 23148312,dadimkt02@dadi.com.hk,Hong Kong
DaDi Overseas Studies Service Centre - Mongkok,DaDi Overseas Studies Service Centre - Mongkok,"Room 1911, 19/F., One Grand Tower, No.639 Nathan Road, Mong Kok",www.dadi.com.hk,Jenny Chan,(852) 2314 8312,jenny@dadi.com.hk ,Hong Kong
DADI OVERSEAS STUDIES SERVICE CENTRE - Tsuen Wan,DADI OVERSEAS STUDIES SERVICE CENTRE - Tsuen Wan,"Room 2301C-2B, 23/F., Nan Fung Centre, No.264-298 Castle Peak Road, Tsuen Wan, New Territories. Hong Kong",www.dadi.com.hk,Monique Or,(852) 2416 1808,admin8@dadi.com.hk ,Hong Kong
DADI OVERSEAS STUDIES SERVICE CENTRE - Wanchai,DADI OVERSEAS STUDIES SERVICE CENTRE - Wanchai,"Room 1307, 13/F., Tai Yau Building, No. 181 Johnston Road, Wanchai, Hong Kong",www.dadi.com.hk,Gini Chung,(852) 3153 5123,jenny@dadi.com.hk ,Hong Kong
EDUCATION UK LTD - Hong Kong,EDUCATION UK LTD - Hong Kong,"Unit B & C, 18/F, Lockhart Centre, 301-307 Lockhart Road Wan Chai",www.edu-uk.net,closed,(852) 2525 9849,hongkong@edu-uk.net,Hong Kong
ELITE OVERSEAS STUDIES CENTRE - Hong Kong,ELITE OVERSEAS STUDIES CENTRE - Hong Kong,"Room 2102, 21 F Mongkok Commercial Centre, No.16 Argyle Street Kowloon",www.elitestudies.com.hk,Bessie,(852) 3549 6069,info@elitestudies.com.hk,Hong Kong
FIRST GLOBAL EDUCATION - Hong Kong,FIRST GLOBAL EDUCATION - Hong Kong,"Room 803, 8/F, 38 Plaza 38 Shantung Street Mong Kok, Kowloon",www.fgedu.com,Joanna,(852) 2751 1779,info@fgedu.com,Hong Kong
GLOBAL EDUCATION ALLIANCE - Hong Kong,GLOBAL EDUCATION ALLIANCE - Hong Kong," Room 602, On Hong Commercial Building， 145 Hennessy Road， Wanchai",www.geaworld.org,Jessica,(852) 2110 3835,info@geacn.net,Hong Kong
GLOBAL PATH CONSULTING - Hong Kong,GLOBAL PATH CONSULTING - Hong Kong,"Hong KongUnit D, 15/F, Trust Tower, 68 Johnston Road, Wan Chai, Hong Kong",www.gpoverseas.com,Sarah Yung,(852) 2381 1818,info@gpoverseas.com ,Hong Kong
HONG KONG EDUCATION WEB - Hong Kong,HONG KONG EDUCATION WEB - Hong Kong,"Room 901, Shanghai Industrial Investment Building 48 Hennessy Road Wanchai",www.education.com.hk,Laurence,(852) 2272 2800,ieu@education.com.hk,Hong Kong
HONG KONG OVERSEAS STUDIES CENTRE - Hong Kong,HONG KONG OVERSEAS STUDIES CENTRE - Hong Kong,"Room 1229-1230, 12/F, Star House, 3 Salisbury Road, Tsim Sha Tsui",www.hkosc.com.hk,Jimmy Wong,(852) 2730 2068 ,education@hkosc.com.hk ,Hong Kong
IDP EDUCATION - Hong Kong,IDP EDUCATION - Hong Kong,"Room 2807-09, 28/F, Harbour Centre 25 Harbour Road Wanchai Wan Chai Hong Kong Island",www.idp.cn,Calvin,(86) 52 28276362,info@hongkong.idp.com,Hong Kong
IEDUCATION AND TRAINING GROUP - Hong Kong,IEDUCATION AND TRAINING GROUP - Hong Kong,"Rm 2202, Tung Wai Commercial Buliding 109-111 Gloucester Road Wan Chai",www.ietgroup.com.hk/en/,Eliza,(852) 2574 7738,info@ietgroup.com.hk,Hong Kong
INTERNATIONAL STUDIES SERVICE CENTRE (ISSC) - Hong Kong,INTERNATIONAL STUDIES SERVICE CENTRE (ISSC) - Hong Kong,"Rm 2008-11, Wu Sang House, 655 Nathan Road, Mongkok, Kowloon, Hong Kong",www.issc.com.hk,Steve Lo,(852) 2591 9997,slo@issc.com.hk,Hong Kong
INTRODUCING AUSTRALIA STUDIES CENTRE - Hong Kong,INTRODUCING AUSTRALIA STUDIES CENTRE - Hong Kong,"Room 1605, Sino Centre, 582 Nathan Road, Kowloon, Hong Kong",www.iasc.com.hk,Gary Cheung,(852) 2771 8987 ,enquiry@iasc.com.hk,Hong Kong
RISE SMART OVERSEAS EDUCATION CENTRE - Hong Kong,RISE SMART OVERSEAS EDUCATION CENTRE - Hong Kong,"Room F, 9/F, Cameron Plaza, 23-25A Cameron Road, Tsim Sha Tsui, Kowloon, Hong Kong",www.risesmart.com.hk,Joe Li,(852) 2980 2306,joe@risesmart.com.hk ,Hong Kong
SKYREACH EDUCATION ADVISORY LIMITED - Wanchai,SKYREACH EDUCATION ADVISORY LIMITED - Wanchai,"Room 201, 2/F., Dannies House, 20 Luard Road, Wanchai ",www.skyreach.com.hk,Susan Lee,(852) 2520 3303, info@skyreach.com.hk,Hong Kong
SUPER RED EDUCATION AND TRAINING CENTRE - Hong Kong,SUPER RED EDUCATION AND TRAINING CENTRE - Hong Kong,"Unit 1104, 11/F, Fourseas Building 208 - 212 Nathan Road Kowloon",www.superred.com.hk,Connie,(852) 3105 2962,info@superred.com.hk,Hong Kong
SYNCHRO OVERSEAS EDUCATION - Hong Kong,SYNCHRO OVERSEAS EDUCATION - Hong Kong,"Unit 1201, 12/F, Austin Plaza, 83 Austin Road, Tsim Sha Tsui, Hong Kong",www.synedu.hk,Ophelia Tsui,(852) 2111 1480,ophelia@synedu.hk ,Hong Kong
AEC - ABROAD EDUCATIONAL CONSULTANTS - New Delhi,AEC - ABROAD EDUCATIONAL CONSULTANTS - New Delhi,"505-509, 5th Floor, Ansal Tower, 38, Nehru Place, New Delhi ",www.aecoverseas.com, - ,(+91) 11 4333 4444,enquiry@aecoverseas.com ,India
AECC GLOBAL - New Delhi,AECC GLOBAL - New Delhi,"F-6, 1st Floor, East of Kailash, New Delhi 110065",www.aeccglobal.com/india, - ,(+91) 11 4411 9999 ,amrit.kaur@aeccglobal.com,India
AUSCAN CONSULTANTS - Chandigarh,AUSCAN CONSULTANTS - Chandigarh,"S.C.O. No 11, Sector 17-E, Above Tejees, Chandigarh",www.auscanimmigration.com, - ,(+91) 172 5002044  (+91) 172 5002055 ,info@auscanimmigration.com,India
